country,date,Total_industry,Total_manufacturing,Total_construction,Total_retail_trade,Construction_permits_issued,Harmonised_unemployment,Earnings_manufacturing,CPI_all_items,CPI_core,PPI_manufacturing,Exports,Imports,Share_prices,Currency_conversions_usd,IR_3months,IR_10months,IR_immediate,Business_confidence,Consumer_confidence,Leading_indicators
MEX,1988-08-01,4.06607369758579,,3.03830911492736,1.6520392348077,,-0.10000000000000009,2.38594919459523,0.919969259160193,1.20228917152218,0.00036778463755271495,2.33286055058745,6.17835253082929,4.48745214802213,-0.00020935714179404208,,,-0.8200000000000003,,,0.00547375773854597
MEX,1988-09-01,-0.610500610500622,,0.641025641025641,0.574651652131882,,0.0,1.4347232553393,0.571708956654204,0.681757873319638,-0.010599278686144631,-15.0567882923133,-0.983711372434061,0.686952981884793,0.00020935714179404208,,,0.0,,,0.005445845434347341
MEX,1988-10-01,1.7199017199017,,-2.29299363057326,8.46178061933406,,-0.20000000000000018,2.96105255579517,0.762765358965663,0.730257194958805,-0.0052730225991031165,4.41766120029283,-0.948599628380212,-0.0252691160863263,0.0,,,0.13000000000000256,,,0.00534176473469028
MEX,1988-11-01,2.65700483091787,,0.521512385919153,-0.712442635391424,,0.20000000000000018,1.70693754201874,1.33825297315179,0.996866152484354,0.012563275684809971,7.52054887336374,8.55998442520413,16.0549994944899,0.0,,,1.6199999999999974,,,0.004136348572341575
MEX,1988-12-01,,,,1.90266985180833,,0.0,0.746248422014268,2.08646435687852,1.55839897885953,0.01654076292264728,2.10304144329544,-5.47704609765636,-7.86218311699625,0.0,,,3.8299999999999983,,,0.0015621372179923654
MEX,1989-01-01,1.1764705882353,,2.72373540856034,-1.41670683631427,,-0.10000000000000009,3.70817025480163,2.44795323980303,2.70175934570012,0.018025616223777297,5.21168548686304,4.55278561577627,-0.624024960998452,0.003842707669396206,,,3.8900000000000006,,,-0.0002773023938118513
MEX,1989-02-01,,,0.631313131313131,2.39842928516928,,-0.2999999999999998,1.64777459145639,1.35705507422644,1.99464775710718,0.008207150369163863,0.00098484404925754,2.95460707112218,-0.903858046715188,0.016500546524856885,,,-0.6699999999999946,,,-0.0012315199256267562
MEX,1989-03-01,-0.581395348837221,,-0.627352572145546,-2.7899233488886,,-0.10000000000000009,1.43943681098936,1.08406164111192,1.42123448332518,0.011707019625311954,3.43063089535325,-1.09404966907595,11.3820747923768,0.01739064022915271,,,-1.4000000000000057,,,-0.0012445444505706504
MEX,1989-04-01,0.818713450292417,,-0.75757575757579,6.47746753590103,,-0.10000000000000009,1.71430636537164,1.49547071324792,1.31621885411473,0.01619431199169874,3.20698165487553,8.35535168304633,12.8049306094302,0.016989765782569943,,,-0.39000000000000057,,,-0.00179369305305066
MEX,1989-05-01,0.116009280742455,,1.01781170483462,1.06546378462956,,0.20000000000000018,3.53573512539236,1.37641979922735,1.26059002269386,0.007686202352203075,1.14386634135984,-5.01389691940233,15.7452336377182,0.017789238077133396,,,2.240000000000002,,,-0.002836803159591561
MEX,1989-06-01,1.85399768250291,,0.881612090680104,2.28071751604715,,-0.20000000000000018,1.15935520531525,1.21447285276985,1.10173503858829,0.007601202640497018,3.66796249907632,4.28132892659447,15.0359807222552,0.013677448160752115,,,2.8200000000000003,,,-0.0035633830273855693
MEX,1989-07-01,-0.682593856655314,,,1.53015327661124,,-0.10000000000000009,2.00086870340868,1.0002913109933,1.01619874571627,0.010486313977601025,-2.90061656890044,-8.2721298289364,1.65284513185457,0.012195384433876022,,,-0.46999999999999886,,,-0.0045885696282583766
